year,quarter,c_cpi_u_extended
2008,1,122.5
2008,2,125.2
2008,3,126.7
2008,4,123.4
2009,1,122.5
2009,2,123.7
2009,3,124.5
2009,4,124.7
2010,1,125.1
2010,2,125.6
2010,3,125.7
2010,4,126
2011,1,127.6
2011,2,129.8
2011,3,130.3
2011,4,130.1
2012,1,131.1
2012,2,132.2
2012,3,132.4
2012,4,132.3
2013,1,133
2013,2,133.6
2013,3,134.1
2013,4,133.7
2014,1,134.6
2014,2,136.1
2014,3,136.2
2014,4,135.1
2015,1,134.2
2015,2,135.9
2015,3,136.1
2015,4,135.3
2016,1,135.2
2016,2,136.8
2016,3,137.1
2016,4,137.3
2017,1,138.3
2017,2,138.9
2017,3,139.3
2017,4,139.7
2018,1,140.7
2018,2,142
2018,3,142.4
2018,4,142.2
2019,1,142.6
2019,2,144.1
2019,3,144.4
2019,4,144.5
2020,1,145
2020,2,144.3
2020,3,146.1
2020,4,146.3
2021,1,147.9
2021,2,151.1
2021,3,153.4
2021,4,155.4
2022,1,158.9
2022,2,163.7
2022,3,165.6
2022,4,166.4
2023,1,168
2023,2,169.8
2023,3,171
2023,4,171.1
2024,1,172.8
2024,2,174.8
2024,3,175.2
