time_period,data_value
1976Q1,27.833
1976Q2,28.066
1976Q3,28.492
1976Q4,28.942
1977Q1,29.465
1977Q2,29.969
1977Q3,30.42
1977Q4,30.852
1978Q1,31.358
1978Q2,32.002
1978Q3,32.564
1978Q4,33.179
1979Q1,33.804
1979Q2,34.728
1979Q3,35.59
1979Q4,36.451
1980Q1,37.545
1980Q2,38.464
1980Q3,39.364
1980Q4,40.338
1981Q1,41.384
1981Q2,42.078
1981Q3,42.772
1981Q4,43.427
1982Q1,43.979
1982Q2,44.402
1982Q3,45.103
1982Q4,45.601
1983Q1,45.978
1983Q2,46.398
1983Q3,47.008
1983Q4,47.318
1984Q1,47.83
1984Q2,48.293
1984Q3,48.666
1984Q4,48.966
1985Q1,49.544
1985Q2,49.945
1985Q3,50.337
1985Q4,50.688
1986Q1,51.047
1986Q2,50.993
1986Q3,51.263
1986Q4,51.573
1987Q1,52.061
1987Q2,52.564
1987Q3,53.062
1987Q4,53.52
1988Q1,53.943
1988Q2,54.539
1988Q3,55.211
1988Q4,55.769
1989Q1,56.41
1989Q2,57.17
1989Q3,57.507
1989Q4,57.959
1990Q1,58.799
1990Q2,59.333
1990Q3,60.087
1990Q4,60.882
1991Q1,61.202
1991Q2,61.536
1991Q3,61.954
1991Q4,62.404
1992Q1,62.795
1992Q2,63.212
1992Q3,63.615
1992Q4,64.059
1993Q1,64.441
1993Q2,64.874
1993Q3,65.155
1993Q4,65.531
1994Q1,65.766
1994Q2,66.133
1994Q3,66.607
1994Q4,66.92
1995Q1,67.247
1995Q2,67.639
1995Q3,67.915
1995Q4,68.214
1996Q1,68.593
1996Q2,69.052
1996Q3,69.346
1996Q4,69.819
1997Q1,70.127
1997Q2,70.303
1997Q3,70.488
1997Q4,70.71
1998Q1,70.715
1998Q2,70.843
1998Q3,71.062
1998Q4,71.249
1999Q1,71.39
1999Q2,71.796
1999Q3,72.191
1999Q4,72.629
2000Q1,73.219
2000Q2,73.568
2000Q3,74.042
2000Q4,74.46
2001Q1,75.012
2001Q2,75.363
2001Q3,75.401
2001Q4,75.432
2002Q1,75.584
2002Q2,76.145
2002Q3,76.539
2002Q4,76.896
2003Q1,77.484
2003Q2,77.562
2003Q3,78.073
2003Q4,78.457
2004Q1,79.062
2004Q2,79.594
2004Q3,79.985
2004Q4,80.669
2005Q1,81.138
2005Q2,81.65
2005Q3,82.532
2005Q4,83.189
2006Q1,83.621
2006Q2,84.355
2006Q3,84.962
2006Q4,84.822
2007Q1,85.597
2007Q2,86.324
2007Q3,86.812
2007Q4,87.694
2008Q1,88.408
2008Q2,89.269
2008Q3,90.221
2008Q4,88.781
2009Q1,88.181
2009Q2,88.532
2009Q3,89.142
2009Q4,89.83
2010Q1,90.177
2010Q2,90.317
2010Q3,90.49
2010Q4,91.07
2011Q1,91.835
2011Q2,92.738
2011Q3,93.167
2011Q4,93.475
2012Q1,94.094
2012Q2,94.321
2012Q3,94.595
2012Q4,95.126
2013Q1,95.459
2013Q2,95.508
2013Q3,95.901
2013Q4,96.254
2014Q1,96.696
2014Q2,97.129
2014Q3,97.394
2014Q4,97.265
2015Q1,96.829
2015Q2,97.312
2015Q3,97.565
2015Q4,97.49
2016Q1,97.538
2016Q2,98.157
2016Q3,98.496
2016Q4,98.947
2017Q1,99.524
2017Q2,99.724
2017Q3,100.076
2017Q4,100.676
2018Q1,101.38
2018Q2,101.912
2018Q3,102.254
2018Q4,102.642
2019Q1,102.851
2019Q2,103.426
2019Q3,103.675
2019Q4,104.083
2020Q1,104.404
2020Q2,103.988
2020Q3,104.832
2020Q4,105.34
2021Q1,106.529
2021Q2,108.188
2021Q3,109.681
2021Q4,111.491
2022Q1,113.585
2022Q2,115.672
2022Q3,117.014
2022Q4,118.172
2023Q1,119.32
2023Q2,120.182
2023Q3,120.983
2023Q4,121.48
2024Q1,122.507
2024Q2,123.275
2024Q3,123.747
2024Q4,124.478
